기관명,번호,남은기간,제목,사업명,AI관련여부,품질인증관련여부,관련키워드,공고유형,신청시작일,신청종료일,마감Dday,신청기간,작성자,작성일자,상세링크
NIA,29721,신규,[조달입찰공고] 모두의 AI 실험실 활용·지원 프로세스 수립 및 활성화 (긴급공고) [첨부파일],재무관리팀,Y,N,AI,입찰(용역)공고,,,,,이용진,2026.07.22,"doBbsFView('78336','29721','16010100','29721');return false;"
NIA,29720,신규,[입찰공고] 5G-A 테스트베드 고도화를 위한 과제 세부기획 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,배보배,2026.07.21,"doBbsFView('78336','29720','16010100','29720');return false;"
NIA,29719,신규,[조달입찰공고] 재난안전 AI 데이터 구축 위탁감리 [첨부파일],재무관리팀,Y,N,"AI, 데이터",입찰(용역)공고,,,,,권남희,2026.07.21,"doBbsFView('78336','29719','16010100','29719');return false;"
NIA,29698,신규,[사전규격공개] AI·디지털 사회 대국민 인식조사 [첨부파일],디지털포용기획팀,Y,N,AI,기타,,,,,최문현,2026.07.21,"doBbsFView('78336','29698','16010100','29698');return false;"
NIA,29697,신규,[사전규격공개] 국민 참여형 AI 민주정부 플랫폼 운영체계 연구용역 [첨부파일],AI정부기획팀,Y,N,AI,입찰(용역)공고,,,,,김송민,2026.07.21,"doBbsFView('78336','29697','16010100','29697');return false;"
NIA,29688,신규,[조달입찰공고] 세르비아 지방자치단체 오픈데이터 포털 등록을 위한 PoC 수행 및 AI기반 재난안전 데이터 분석방안 [첨부파일],재무관리팀,Y,N,"AI, 데이터",입찰(용역)공고,,,,,권남희,2026.07.20,"doBbsFView('78336','29688','16010100','29688');return false;"
NIA,29686,신규,[입찰공고] 디지털정부 전시체험관 키오스크 배리어프리 전환 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,배보배,2026.07.16,"doBbsFView('78336','29686','16010100','29686');return false;"
NIA,29685,신규,[조달입찰공고] 백업센터 2·3전 기반환경 구축 전기공사 실시설계용역 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,배보배,2026.07.16,"doBbsFView('78336','29685','16010100','29685');return false;"
NIA,29684,신규,[조달입찰공고] 2026년 디지털서비스 개방 API 개발 지원사업 위탁감리 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,정하윤,2026.07.16,"doBbsFView('78336','29684','16010100','29684');return false;"
NIA,29677,신규,[입찰공고_재공고] 26년 클라우드 네이티브 전환 사업(행정안전부 자치단체통합인터넷원서접수시스템) 개인정보영향평가 [첨부파일],재무관리팀,N,Y,평가,입찰(용역)공고,,,,,정하윤,2026.07.16,"doBbsFView('78336','29677','16010100','29677');return false;"
NIA,29676,신규,[조달입찰공고] AIEP 메일 계정 및 빅테크 교육 플랫폼 연동 운영 [첨부파일],재무관리팀,Y,N,AI,입찰(용역)공고,,,,,이용진,2026.07.15,"doBbsFView('78336','29676','16010100','29676');return false;"
NIA,29665,신규,[조달입찰공고] (긴급) 2026년 스쿨넷서비스 기술지원 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,배보배,2026.07.14,"doBbsFView('78336','29665','16010100','29665');return false;"
NIA,29664,신규,[조달입찰공고] 의료 데이터 스페이스 구축(1차년도) 위탁감리 [첨부파일],재무관리팀,Y,N,데이터,입찰(용역)공고,,,,,배보배,2026.07.14,"doBbsFView('78336','29664','16010100','29664');return false;"
NIA,29662,신규,[조달입찰공고] 모두의 AI 실험실 온라인 플랫폼 고도화 [첨부파일],재무관리팀,Y,N,AI,입찰(용역)공고,,,,,이용진,2026.07.14,"doBbsFView('78336','29662','16010100','29662');return false;"
NIA,29659,신규,[조달입찰공고] '26년 민간 SaaS 연계공통기반 운영 지원 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,이용진,2026.07.14,"doBbsFView('78336','29659','16010100','29659');return false;"
NIA,29657,신규,[입찰공고] 인공지능산업 진흥 및 안전·신뢰 균형을 위한 규범적 접근 방안 모색 [첨부파일],재무관리팀,Y,N,인공지능,입찰(용역)공고,,,,,정하윤,2026.07.14,"doBbsFView('78336','29657','16010100','29657');return false;"
